question,answer,category
Sample customer question 115?,Sample answer 115.,Category1
Sample customer question 116?,Sample answer 116.,Category2
Sample customer question 117?,Sample answer 117.,Category3
Sample customer question 118?,Sample answer 118.,Category4
Sample customer question 119?,Sample answer 119.,Category5
Sample customer question 120?,Sample answer 120.,Category1
Sample customer question 121?,Sample answer 121.,Category2
Sample customer question 122?,Sample answer 122.,Category3
Sample customer question 123?,Sample answer 123.,Category4
Sample customer question 124?,Sample answer 124.,Category5
Sample customer question 125?,Sample answer 125.,Category1
Sample customer question 126?,Sample answer 126.,Category2
Sample customer question 127?,Sample answer 127.,Category3
Sample customer question 128?,Sample answer 128.,Category4
Sample customer question 129?,Sample answer 129.,Category5
Sample customer question 130?,Sample answer 130.,Category1
Sample customer question 131?,Sample answer 131.,Category2
Sample customer question 132?,Sample answer 132.,Category3
Sample customer question 133?,Sample answer 133.,Category4
Sample customer question 134?,Sample answer 134.,Category5
Sample customer question 135?,Sample answer 135.,Category1
Sample customer question 136?,Sample answer 136.,Category2
Sample customer question 137?,Sample answer 137.,Category3
Sample customer question 138?,Sample answer 138.,Category4
Sample customer question 139?,Sample answer 139.,Category5
Sample customer question 140?,Sample answer 140.,Category1
Sample customer question 141?,Sample answer 141.,Category2
Sample customer question 142?,Sample answer 142.,Category3
Sample customer question 143?,Sample answer 143.,Category4
Sample customer question 144?,Sample answer 144.,Category5
Sample customer question 145?,Sample answer 145.,Category1
Sample customer question 146?,Sample answer 146.,Category2
Sample customer question 147?,Sample answer 147.,Category3
Sample customer question 148?,Sample answer 148.,Category4
Sample customer question 149?,Sample answer 149.,Category5
Sample customer question 150?,Sample answer 150.,Category1
Sample customer question 151?,Sample answer 151.,Category2
Sample customer question 152?,Sample answer 152.,Category3
Sample customer question 153?,Sample answer 153.,Category4
Sample customer question 154?,Sample answer 154.,Category5
Sample customer question 155?,Sample answer 155.,Category1
Sample customer question 156?,Sample answer 156.,Category2
Sample customer question 157?,Sample answer 157.,Category3
Sample customer question 158?,Sample answer 158.,Category4
Sample customer question 159?,Sample answer 159.,Category5
Sample customer question 160?,Sample answer 160.,Category1
Sample customer question 161?,Sample answer 161.,Category2
Sample customer question 162?,Sample answer 162.,Category3
Sample customer question 163?,Sample answer 163.,Category4
Sample customer question 164?,Sample answer 164.,Category5
Sample customer question 165?,Sample answer 165.,Category1
Sample customer question 166?,Sample answer 166.,Category2
Sample customer question 167?,Sample answer 167.,Category3
Sample customer question 168?,Sample answer 168.,Category4
Sample customer question 169?,Sample answer 169.,Category5
Sample customer question 170?,Sample answer 170.,Category1
Sample customer question 171?,Sample answer 171.,Category2
Sample customer question 172?,Sample answer 172.,Category3
Sample customer question 173?,Sample answer 173.,Category4
Sample customer question 174?,Sample answer 174.,Category5
Sample customer question 175?,Sample answer 175.,Category1
Sample customer question 176?,Sample answer 176.,Category2
Sample customer question 177?,Sample answer 177.,Category3
Sample customer question 178?,Sample answer 178.,Category4
Sample customer question 179?,Sample answer 179.,Category5
Sample customer question 180?,Sample answer 180.,Category1
Sample customer question 181?,Sample answer 181.,Category2
Sample customer question 182?,Sample answer 182.,Category3
Sample customer question 183?,Sample answer 183.,Category4
Sample customer question 184?,Sample answer 184.,Category5
Sample customer question 185?,Sample answer 185.,Category1
Sample customer question 186?,Sample answer 186.,Category2
Sample customer question 187?,Sample answer 187.,Category3
Sample customer question 188?,Sample answer 188.,Category4
Sample customer question 189?,Sample answer 189.,Category5
Sample customer question 190?,Sample answer 190.,Category1
Sample customer question 191?,Sample answer 191.,Category2
Sample customer question 192?,Sample answer 192.,Category3
Sample customer question 193?,Sample answer 193.,Category4
Sample customer question 194?,Sample answer 194.,Category5
Sample customer question 195?,Sample answer 195.,Category1
Sample customer question 196?,Sample answer 196.,Category2
Sample customer question 197?,Sample answer 197.,Category3
Sample customer question 198?,Sample answer 198.,Category4
Sample customer question 199?,Sample answer 199.,Category5
Sample customer question 200?,Sample answer 200.,Category1
Sample customer question 201?,Sample answer 201.,Category2
Sample customer question 202?,Sample answer 202.,Category3
Sample customer question 203?,Sample answer 203.,Category4
Sample customer question 204?,Sample answer 204.,Category5
Sample customer question 205?,Sample answer 205.,Category1
Sample customer question 206?,Sample answer 206.,Category2
Sample customer question 207?,Sample answer 207.,Category3
Sample customer question 208?,Sample answer 208.,Category4
Sample customer question 209?,Sample answer 209.,Category5
Sample customer question 210?,Sample answer 210.,Category1
Sample customer question 211?,Sample answer 211.,Category2
Sample customer question 212?,Sample answer 212.,Category3
Sample customer question 213?,Sample answer 213.,Category4
Sample customer question 214?,Sample answer 214.,Category5
Sample customer question 215?,Sample answer 215.,Category1
Sample customer question 216?,Sample answer 216.,Category2
Sample customer question 217?,Sample answer 217.,Category3
Sample customer question 218?,Sample answer 218.,Category4
Sample customer question 219?,Sample answer 219.,Category5
Sample customer question 220?,Sample answer 220.,Category1
Sample customer question 221?,Sample answer 221.,Category2
Sample customer question 222?,Sample answer 222.,Category3
Sample customer question 223?,Sample answer 223.,Category4
Sample customer question 224?,Sample answer 224.,Category5
Sample customer question 225?,Sample answer 225.,Category1
Sample customer question 226?,Sample answer 226.,Category2
Sample customer question 227?,Sample answer 227.,Category3
Sample customer question 228?,Sample answer 228.,Category4
Sample customer question 229?,Sample answer 229.,Category5
Sample customer question 230?,Sample answer 230.,Category1
Sample customer question 231?,Sample answer 231.,Category2
Sample customer question 232?,Sample answer 232.,Category3
Sample customer question 233?,Sample answer 233.,Category4
Sample customer question 234?,Sample answer 234.,Category5
Sample customer question 235?,Sample answer 235.,Category1
Sample customer question 236?,Sample answer 236.,Category2
Sample customer question 237?,Sample answer 237.,Category3
Sample customer question 238?,Sample answer 238.,Category4
Sample customer question 239?,Sample answer 239.,Category5
Sample customer question 240?,Sample answer 240.,Category1
Sample customer question 241?,Sample answer 241.,Category2
Sample customer question 242?,Sample answer 242.,Category3
Sample customer question 243?,Sample answer 243.,Category4
Sample customer question 244?,Sample answer 244.,Category5
Sample customer question 245?,Sample answer 245.,Category1
Sample customer question 246?,Sample answer 246.,Category2
Sample customer question 247?,Sample answer 247.,Category3
Sample customer question 248?,Sample answer 248.,Category4
Sample customer question 249?,Sample answer 249.,Category5
Sample customer question 250?,Sample answer 250.,Category1
Sample customer question 251?,Sample answer 251.,Category2
Sample customer question 252?,Sample answer 252.,Category3
Sample customer question 253?,Sample answer 253.,Category4
Sample customer question 254?,Sample answer 254.,Category5
Sample customer question 255?,Sample answer 255.,Category1
Sample customer question 256?,Sample answer 256.,Category2
Sample customer question 257?,Sample answer 257.,Category3
Sample customer question 258?,Sample answer 258.,Category4
Sample customer question 259?,Sample answer 259.,Category5
Sample customer question 260?,Sample answer 260.,Category1
Sample customer question 261?,Sample answer 261.,Category2
Sample customer question 262?,Sample answer 262.,Category3
Sample customer question 263?,Sample answer 263.,Category4
Sample customer question 264?,Sample answer 264.,Category5
Sample customer question 265?,Sample answer 265.,Category1
Sample customer question 266?,Sample answer 266.,Category2
Sample customer question 267?,Sample answer 267.,Category3
Sample customer question 268?,Sample answer 268.,Category4
Sample customer question 269?,Sample answer 269.,Category5
Sample customer question 270?,Sample answer 270.,Category1
Sample customer question 271?,Sample answer 271.,Category2
Sample customer question 272?,Sample answer 272.,Category3
Sample customer question 273?,Sample answer 273.,Category4
Sample customer question 274?,Sample answer 274.,Category5
Sample customer question 275?,Sample answer 275.,Category1
Sample customer question 276?,Sample answer 276.,Category2
Sample customer question 277?,Sample answer 277.,Category3
Sample customer question 278?,Sample answer 278.,Category4
Sample customer question 279?,Sample answer 279.,Category5
Sample customer question 280?,Sample answer 280.,Category1
Sample customer question 281?,Sample answer 281.,Category2
Sample customer question 282?,Sample answer 282.,Category3
Sample customer question 283?,Sample answer 283.,Category4
Sample customer question 284?,Sample answer 284.,Category5
Sample customer question 285?,Sample answer 285.,Category1
Sample customer question 286?,Sample answer 286.,Category2
Sample customer question 287?,Sample answer 287.,Category3
Sample customer question 288?,Sample answer 288.,Category4
Sample customer question 289?,Sample answer 289.,Category5
Sample customer question 290?,Sample answer 290.,Category1
Sample customer question 291?,Sample answer 291.,Category2
Sample customer question 292?,Sample answer 292.,Category3
Sample customer question 293?,Sample answer 293.,Category4
Sample customer question 294?,Sample answer 294.,Category5
Sample customer question 295?,Sample answer 295.,Category1
Sample customer question 296?,Sample answer 296.,Category2
Sample customer question 297?,Sample answer 297.,Category3
Sample customer question 298?,Sample answer 298.,Category4
Sample customer question 299?,Sample answer 299.,Category5
Sample customer question 300?,Sample answer 300.,Category1
Sample customer question 301?,Sample answer 301.,Category2
Sample customer question 302?,Sample answer 302.,Category3
Sample customer question 303?,Sample answer 303.,Category4
Sample customer question 304?,Sample answer 304.,Category5
Sample customer question 305?,Sample answer 305.,Category1
Sample customer question 306?,Sample answer 306.,Category2
Sample customer question 307?,Sample answer 307.,Category3
Sample customer question 308?,Sample answer 308.,Category4
Sample customer question 309?,Sample answer 309.,Category5
Sample customer question 310?,Sample answer 310.,Category1
Sample customer question 311?,Sample answer 311.,Category2
Sample customer question 312?,Sample answer 312.,Category3
Sample customer question 313?,Sample answer 313.,Category4
Sample customer question 314?,Sample answer 314.,Category5
Sample customer question 315?,Sample answer 315.,Category1
Sample customer question 316?,Sample answer 316.,Category2
Sample customer question 317?,Sample answer 317.,Category3
Sample customer question 318?,Sample answer 318.,Category4
Sample customer question 319?,Sample answer 319.,Category5
Sample customer question 320?,Sample answer 320.,Category1
Sample customer question 321?,Sample answer 321.,Category2
Sample customer question 322?,Sample answer 322.,Category3
Sample customer question 323?,Sample answer 323.,Category4
Sample customer question 324?,Sample answer 324.,Category5
Sample customer question 325?,Sample answer 325.,Category1
Sample customer question 326?,Sample answer 326.,Category2
Sample customer question 327?,Sample answer 327.,Category3
Sample customer question 328?,Sample answer 328.,Category4
Sample customer question 329?,Sample answer 329.,Category5
Sample customer question 330?,Sample answer 330.,Category1
Sample customer question 331?,Sample answer 331.,Category2
Sample customer question 332?,Sample answer 332.,Category3
Sample customer question 333?,Sample answer 333.,Category4
Sample customer question 334?,Sample answer 334.,Category5
Sample customer question 335?,Sample answer 335.,Category1
Sample customer question 336?,Sample answer 336.,Category2
Sample customer question 337?,Sample answer 337.,Category3
Sample customer question 338?,Sample answer 338.,Category4
Sample customer question 339?,Sample answer 339.,Category5
Sample customer question 340?,Sample answer 340.,Category1
Sample customer question 341?,Sample answer 341.,Category2
Sample customer question 342?,Sample answer 342.,Category3
Sample customer question 343?,Sample answer 343.,Category4
Sample customer question 344?,Sample answer 344.,Category5
Sample customer question 345?,Sample answer 345.,Category1
Sample customer question 346?,Sample answer 346.,Category2
Sample customer question 347?,Sample answer 347.,Category3
Sample customer question 348?,Sample answer 348.,Category4
Sample customer question 349?,Sample answer 349.,Category5
Sample customer question 350?,Sample answer 350.,Category1
Sample customer question 351?,Sample answer 351.,Category2
Sample customer question 352?,Sample answer 352.,Category3
Sample customer question 353?,Sample answer 353.,Category4
Sample customer question 354?,Sample answer 354.,Category5
Sample customer question 355?,Sample answer 355.,Category1
Sample customer question 356?,Sample answer 356.,Category2
Sample customer question 357?,Sample answer 357.,Category3
Sample customer question 358?,Sample answer 358.,Category4
Sample customer question 359?,Sample answer 359.,Category5
Sample customer question 360?,Sample answer 360.,Category1
Sample customer question 361?,Sample answer 361.,Category2
Sample customer question 362?,Sample answer 362.,Category3
Sample customer question 363?,Sample answer 363.,Category4
Sample customer question 364?,Sample answer 364.,Category5
Sample customer question 365?,Sample answer 365.,Category1
Sample customer question 366?,Sample answer 366.,Category2
Sample customer question 367?,Sample answer 367.,Category3
Sample customer question 368?,Sample answer 368.,Category4
Sample customer question 369?,Sample answer 369.,Category5
Sample customer question 370?,Sample answer 370.,Category1
Sample customer question 371?,Sample answer 371.,Category2
Sample customer question 372?,Sample answer 372.,Category3
Sample customer question 373?,Sample answer 373.,Category4
Sample customer question 374?,Sample answer 374.,Category5
Sample customer question 375?,Sample answer 375.,Category1
Sample customer question 376?,Sample answer 376.,Category2
Sample customer question 377?,Sample answer 377.,Category3
Sample customer question 378?,Sample answer 378.,Category4
Sample customer question 379?,Sample answer 379.,Category5
Sample customer question 380?,Sample answer 380.,Category1
Sample customer question 381?,Sample answer 381.,Category2
Sample customer question 382?,Sample answer 382.,Category3
Sample customer question 383?,Sample answer 383.,Category4
Sample customer question 384?,Sample answer 384.,Category5
Sample customer question 385?,Sample answer 385.,Category1
Sample customer question 386?,Sample answer 386.,Category2
Sample customer question 387?,Sample answer 387.,Category3
Sample customer question 388?,Sample answer 388.,Category4
Sample customer question 389?,Sample answer 389.,Category5
Sample customer question 390?,Sample answer 390.,Category1
Sample customer question 391?,Sample answer 391.,Category2
Sample customer question 392?,Sample answer 392.,Category3
Sample customer question 393?,Sample answer 393.,Category4
Sample customer question 394?,Sample answer 394.,Category5
Sample customer question 395?,Sample answer 395.,Category1
Sample customer question 396?,Sample answer 396.,Category2
Sample customer question 397?,Sample answer 397.,Category3
Sample customer question 398?,Sample answer 398.,Category4
Sample customer question 399?,Sample answer 399.,Category5
Sample customer question 400?,Sample answer 400.,Category1
Sample customer question 401?,Sample answer 401.,Category2
Sample customer question 402?,Sample answer 402.,Category3
Sample customer question 403?,Sample answer 403.,Category4
Sample customer question 404?,Sample answer 404.,Category5
Sample customer question 405?,Sample answer 405.,Category1
Sample customer question 406?,Sample answer 406.,Category2
Sample customer question 407?,Sample answer 407.,Category3
Sample customer question 408?,Sample answer 408.,Category4
Sample customer question 409?,Sample answer 409.,Category5
Sample customer question 410?,Sample answer 410.,Category1
Sample customer question 411?,Sample answer 411.,Category2
Sample customer question 412?,Sample answer 412.,Category3
Sample customer question 413?,Sample answer 413.,Category4
Sample customer question 414?,Sample answer 414.,Category5
Sample customer question 415?,Sample answer 415.,Category1
Sample customer question 416?,Sample answer 416.,Category2
Sample customer question 417?,Sample answer 417.,Category3
Sample customer question 418?,Sample answer 418.,Category4
Sample customer question 419?,Sample answer 419.,Category5
Sample customer question 420?,Sample answer 420.,Category1
Sample customer question 421?,Sample answer 421.,Category2
Sample customer question 422?,Sample answer 422.,Category3
Sample customer question 423?,Sample answer 423.,Category4
Sample customer question 424?,Sample answer 424.,Category5
Sample customer question 425?,Sample answer 425.,Category1
Sample customer question 426?,Sample answer 426.,Category2
Sample customer question 427?,Sample answer 427.,Category3
Sample customer question 428?,Sample answer 428.,Category4
Sample customer question 429?,Sample answer 429.,Category5
Sample customer question 430?,Sample answer 430.,Category1
Sample customer question 431?,Sample answer 431.,Category2
Sample customer question 432?,Sample answer 432.,Category3
Sample customer question 433?,Sample answer 433.,Category4
Sample customer question 434?,Sample answer 434.,Category5
Sample customer question 435?,Sample answer 435.,Category1
Sample customer question 436?,Sample answer 436.,Category2
Sample customer question 437?,Sample answer 437.,Category3
Sample customer question 438?,Sample answer 438.,Category4
Sample customer question 439?,Sample answer 439.,Category5
Sample customer question 440?,Sample answer 440.,Category1
Sample customer question 441?,Sample answer 441.,Category2
Sample customer question 442?,Sample answer 442.,Category3
Sample customer question 443?,Sample answer 443.,Category4
Sample customer question 444?,Sample answer 444.,Category5
Sample customer question 445?,Sample answer 445.,Category1
Sample customer question 446?,Sample answer 446.,Category2
Sample customer question 447?,Sample answer 447.,Category3
Sample customer question 448?,Sample answer 448.,Category4
Sample customer question 449?,Sample answer 449.,Category5
Sample customer question 450?,Sample answer 450.,Category1
Sample customer question 451?,Sample answer 451.,Category2
Sample customer question 452?,Sample answer 452.,Category3
Sample customer question 453?,Sample answer 453.,Category4
Sample customer question 454?,Sample answer 454.,Category5
Sample customer question 455?,Sample answer 455.,Category1
Sample customer question 456?,Sample answer 456.,Category2
Sample customer question 457?,Sample answer 457.,Category3
Sample customer question 458?,Sample answer 458.,Category4
Sample customer question 459?,Sample answer 459.,Category5
Sample customer question 460?,Sample answer 460.,Category1
Sample customer question 461?,Sample answer 461.,Category2
Sample customer question 462?,Sample answer 462.,Category3
Sample customer question 463?,Sample answer 463.,Category4
Sample customer question 464?,Sample answer 464.,Category5
Sample customer question 465?,Sample answer 465.,Category1
Sample customer question 466?,Sample answer 466.,Category2
Sample customer question 467?,Sample answer 467.,Category3
Sample customer question 468?,Sample answer 468.,Category4
Sample customer question 469?,Sample answer 469.,Category5
Sample customer question 470?,Sample answer 470.,Category1
Sample customer question 471?,Sample answer 471.,Category2
Sample customer question 472?,Sample answer 472.,Category3
Sample customer question 473?,Sample answer 473.,Category4
Sample customer question 474?,Sample answer 474.,Category5
Sample customer question 475?,Sample answer 475.,Category1
Sample customer question 476?,Sample answer 476.,Category2
Sample customer question 477?,Sample answer 477.,Category3
Sample customer question 478?,Sample answer 478.,Category4
Sample customer question 479?,Sample answer 479.,Category5
Sample customer question 480?,Sample answer 480.,Category1
Sample customer question 481?,Sample answer 481.,Category2
Sample customer question 482?,Sample answer 482.,Category3
Sample customer question 483?,Sample answer 483.,Category4
Sample customer question 484?,Sample answer 484.,Category5
Sample customer question 485?,Sample answer 485.,Category1
Sample customer question 486?,Sample answer 486.,Category2
Sample customer question 487?,Sample answer 487.,Category3
Sample customer question 488?,Sample answer 488.,Category4
Sample customer question 489?,Sample answer 489.,Category5
Sample customer question 490?,Sample answer 490.,Category1
Sample customer question 491?,Sample answer 491.,Category2
Sample customer question 492?,Sample answer 492.,Category3
Sample customer question 493?,Sample answer 493.,Category4
Sample customer question 494?,Sample answer 494.,Category5
Sample customer question 495?,Sample answer 495.,Category1
Sample customer question 496?,Sample answer 496.,Category2
Sample customer question 497?,Sample answer 497.,Category3
Sample customer question 498?,Sample answer 498.,Category4
Sample customer question 499?,Sample answer 499.,Category5
Sample customer question 500?,Sample answer 500.,Category1
